,Symbol,Security,GICS Sector,GICS Sub Industry,CIK
228,HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,47111
229,HES,Hess Corporation,Energy,Integrated Oil & Gas,4447
230,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",1645590
231,HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1585689
232,HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,48039
233,HOLX,Hologic,Health Care,Health Care Equipment,859737
234,HD,Home Depot,Consumer Discretionary,Home Improvement Retail,354950
235,HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,773840
236,HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,48465
237,HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,1070750
238,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,4281
239,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",47217
240,HUM,Humana Inc.,Health Care,Managed Health Care,49071
241,HBAN,Huntington Bancshares,Financials,Regional Banks,49196
242,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,1501585
243,IEX,IDEX Corporation,Industrials,Industrial Machinery,832101
244,IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,874716
245,INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services,1598014
246,ITW,Illinois Tool Works,Industrials,Industrial Machinery,49826
247,ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,1110803
248,INCY,Incyte,Health Care,Biotechnology,879169
249,IR,Ingersoll Rand,Industrials,Industrial Machinery,1699150
250,INTC,Intel Corp.,Information Technology,Semiconductors,50863
251,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,1571949
252,IBM,International Business Machines,Information Technology,IT Consulting & Other Services,51143
253,IP,International Paper,Materials,Paper Packaging,51434
254,IPG,Interpublic Group,Communication Services,Advertising,51644
255,IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,51253
256,INTU,Intuit Inc.,Information Technology,Application Software,896878
257,ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,1035267
258,IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,914208
259,IPGP,IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services,1111928
260,IQV,IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Services,1478242
261,IRM,Iron Mountain Incorporated,Real Estate,Specialized REITs,1020569
262,JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,779152
263,J,Jacobs Engineering Group,Industrials,Construction & Engineering,52988
264,JBHT,J. B. Hunt Transport Services,Industrials,Trucking,728535
265,SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,91419
266,JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,200406
267,JCI,Johnson Controls International,Industrials,Building Products,833444
268,JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,19617
269,JNPR,Juniper Networks,Information Technology,Communications Equipment,1043604
270,KSU,Kansas City Southern,Industrials,Railroads,54480
271,K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,55067
272,KEY,KeyCorp,Financials,Regional Banks,91576
273,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,1601046
274,KMB,Kimberly-Clark,Consumer Staples,Household Products,55785
275,KIM,Kimco Realty,Real Estate,Retail REITs,879101
